Timestamp,Variant,Actual Epochs,Actual Batch Size,Elapsed Time (s),Actual Acc (%),Paper Acc Study2 (%),Paper Acc Study1 (%)
2026-07-17 20:36:37,base,30,32,60.1,34.78,84.96,82.02
2026-07-17 21:31:58,base,30,32,59.5,47.83,84.96,82.02
2026-07-18 03:44:36,base,30,32,59.6,47.83,84.96,82.02
2026-07-19 13:13:13,base,30,32,67.1,56.52,84.96000000000001,82.02000000000001
2026-07-19 13:18:59,base,30,32,64.8,50.0,84.96000000000001,82.02000000000001
2026-07-19 13:33:21,base,30,32,64.0,60.87,84.96000000000001,82.02000000000001
2026-07-19 13:35:06,base,30,32,64.0,52.17,84.96000000000001,82.02000000000001
2026-07-19 13:44:49,base,30,32,61.4,52.17,84.96000000000001,82.02000000000001
2026-07-19 13:48:09,base,30,32,59.5,39.13,84.96000000000001,82.02000000000001
2026-07-19 22:03:40,base,30,32,64.7,43.48,84.96000000000001,82.02000000000001
2026-07-19 22:20:14,base,30,32,64.1,50.0,84.96000000000001,82.02000000000001
2026-07-20 09:34:36,base,30,32,65.7,45.65,84.96000000000001,82.02000000000001
2026-07-20 09:36:03,base,30,32,64.6,48.89,84.96000000000001,82.02000000000001
2026-07-20 10:59:12,variant1,1,32,106.4,36.96,88.25,85.75
2026-07-20 11:48:42,variant1,30,32,2849.0,52.17,88.25,85.75
2026-07-20 14:52:04,variant1,30,32,2861.5,41.3,88.25,85.75
